Location 1,Location 2,Price,Rooms,Bathrooms,CarParks,Type,Furnish
Mont-Kiara,Kuala-Lumpur,1000000,2,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,310000,3,2,0,Built-up,Partly
Kepong,Kuala-Lumpur,358000,3,3,0,Built-up,Partly
Taman-Desa,Kuala-Lumpur,455000,2,2,0,Built-up,Partly
Kepong,Kuala-Lumpur,358000,3,3,0,Built-up,Partly
Kepong,Kuala-Lumpur,358000,3,3,0,Built-up,Partly
Bukit-Jalil,Kuala-Lumpur,505000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,410000,3,2,0,Built-up,Partly
Setapak,Kuala-Lumpur,278000,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,688000,3,2,0,Built-up,Fully
Mont-Kiara,Kuala-Lumpur,660000,2,2,0,Built-up,Fully
Jalan-Klang-Lama,Kuala-Lumpur,338000,3,2,0,Built-up,Partly
Damansara-Heights,Kuala-Lumpur,18000000,9,9,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,400000,3,2,0,Built-up,Unfurnished
Cheras,Kuala-Lumpur,390000,3,2,0,Built-up,Partly
Desa-ParkCity,Kuala-Lumpur,909000,2,2,0,Built-up,Unfurnished
Mont-Kiara,Kuala-Lumpur,1140000,2,0,0,Built-up,Fully
Setapak,Kuala-Lumpur,420000,3,2,0,Built-up,Partly
Keramat,Kuala-Lumpur,500000,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,370000,3,2,0,Built-up,Fully
Taman-Melawati,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
Taman-Melawati,Kuala-Lumpur,540000,3,2,0,Built-up,Partly
Taman-Melawati,Kuala-Lumpur,530000,3,2,0,Built-up,Partly
Taman-Melawati,Kuala-Lumpur,500000,3,2,0,Built-up,Partly
Taman-Melawati,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
Taman-Melawati,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
Taman-Melawati,Kuala-Lumpur,500000,3,2,0,Built-up,Unfurnished
Cheras,Kuala-Lumpur,430000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,355000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,400000,3,2,0,Built-up,Fully
Taman-Melawati,Kuala-Lumpur,500000,3,2,0,Built-up,Unfurnished
Setapak,Kuala-Lumpur,395000,3,2,0,Built-up,Unfurnished
Mont-Kiara,Kuala-Lumpur,498200,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,405000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,560000,3,3,0,Built-up,Unfurnished
Cheras,Kuala-Lumpur,555000,3,2,0,Built-up,Unfurnished
KLCC,Kuala-Lumpur,1400000,2,2,0,Built-up,Fully
Cheras,Kuala-Lumpur,388000,4,2,0,Built-up,Unfurnished
Setapak,Kuala-Lumpur,595764,3,2,0,Built-up,Unfurnished
Setapak,Kuala-Lumpur,578000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,440000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1300000,2,2,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,618000,3,3,0,Built-up,Partly
Sentul,Kuala-Lumpur,360000,3,2,0,Built-up,Partly
Mont-Kiara,Kuala-Lumpur,982784,2,2,0,Built-up,Unfurnished
Sentul,Kuala-Lumpur,380000,3,2,0,Built-up,Partly
Sri-Petaling,Kuala-Lumpur,390000,3,3,0,Built-up,Partly
Setapak,Kuala-Lumpur,460000,3,2,0,Built-up,Unfurnished
Setapak,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
Segambut,Kuala-Lumpur,570000,3,2,0,Built-up,Unfurnished
Pantai,Kuala-Lumpur,735000,3,2,0,Built-up,Partly
Segambut,Kuala-Lumpur,630000,3,2,0,Built-up,Partly
Segambut,Kuala-Lumpur,590000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,580000,3,2,0,Built-up,Partly
Pantai,Kuala-Lumpur,699000,3,2,0,Built-up,Partly
Pantai,Kuala-Lumpur,680000,3,2,0,Built-up,Unfurnished
Pantai,Kuala-Lumpur,700000,3,2,0,Built-up,Fully
Segambut,Kuala-Lumpur,620000,3,2,0,Built-up,Partly
Pantai,Kuala-Lumpur,720000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,700000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,628000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,690000,3,2,0,Built-up,Partly
Pantai,Kuala-Lumpur,740000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,383000,3,0,0,Built-up,Fully
Cheras,Kuala-Lumpur,383000,3,0,0,Built-up,Fully
Jalan-Ipoh,Kuala-Lumpur,450000,3,2,0,Built-up,Partly
Setapak,Kuala-Lumpur,416000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,750000,2,2,0,Built-up,Fully
